# Wavelength [nm], EQE [%]
3.000160000000000196e+02 2.558874999999999810e-09 3.000160000000000196e+02 3.275954000000000033e+00
3.099889999999999759e+02 2.561149999999999991e-09 3.099889999999999759e+02 3.161810000000000009e+00
3.199889999999999759e+02 2.936769999999999982e-09 3.199889999999999759e+02 4.786019999999999719e+00
3.300140000000000100e+02 3.640719999999999811e-09 3.300140000000000100e+02 8.234610999999999237e+00
3.399889999999999759e+02 4.312395000000000182e-09 3.399889999999999759e+02 1.088715999999999973e+01
3.499889999999999759e+02 4.187339999999999728e-09 3.499889999999999759e+02 1.301825000000000010e+01
3.600129999999999768e+02 4.577970000000000064e-09 3.600129999999999768e+02 1.601848000000000027e+01
3.699859999999999900e+02 4.821715000000000239e-09 3.699859999999999900e+02 1.971203999999999823e+01
3.799830000000000041e+02 5.363320000000000045e-09 3.799830000000000041e+02 2.238031000000000148e+01
3.900020000000000095e+02 6.357400000000000401e-09 3.900020000000000095e+02 2.382354000000000127e+01
4.000059999999999718e+02 8.048174999999999869e-09 4.000059999999999718e+02 2.643427000000000149e+01
4.099950000000000045e+02 9.268715000000000289e-09 4.099950000000000045e+02 2.926389999999999958e+01
4.200049999999999955e+02 1.092124999999999928e-08 4.200049999999999955e+02 3.129943000000000097e+01
4.299990000000000236e+02 1.221460000000000040e-08 4.299990000000000236e+02 3.297153999999999741e+01
4.400140000000000100e+02 1.386620000000000078e-08 4.400140000000000100e+02 3.394532999999999845e+01
4.500110000000000241e+02 1.564345000000000102e-08 4.500110000000000241e+02 3.499788000000000210e+01
4.599900000000000091e+02 1.782259999999999840e-08 4.599900000000000091e+02 3.580501000000000289e+01
4.699889999999999759e+02 2.350874999999999867e-08 4.699889999999999759e+02 3.699756000000000000e+01
4.800059999999999718e+02 2.042375000000000115e-08 4.800059999999999718e+02 3.858632000000000062e+01
4.900029999999999859e+02 2.050740000000000138e-08 4.900029999999999859e+02 4.105207000000000050e+01
4.999820000000000277e+02 2.065659999999999916e-08 4.999820000000000277e+02 4.375030999999999892e+01
5.100140000000000100e+02 2.005994999999999958e-08 5.100140000000000100e+02 4.642855999999999739e+01
5.199880000000000564e+02 2.096210000000000147e-08 5.199880000000000564e+02 4.912485999999999819e+01
5.300149999999999864e+02 2.207170000000000103e-08 5.300149999999999864e+02 5.137176000000000187e+01
5.399840000000000373e+02 2.295215000000000082e-08 5.399840000000000373e+02 5.212832000000000221e+01
5.500040000000000191e+02 2.368339999999999951e-08 5.500040000000000191e+02 5.211448000000000036e+01
