Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 981.172578 W/m^2	
810.000000	0.049715	896.900570
800.000000	0.046949	846.995189
790.000000	0.044023	794.212066
780.000000	0.041260	744.361524
770.000000	0.038726	698.649062
760.000000	0.036461	657.787472
750.000000	0.033941	612.321591
740.000000	0.031772	573.186552
730.000000	0.029554	533.174461
720.000000	0.027602	497.958371
710.000000	0.025471	459.508476
700.000000	0.023721	427.937263
690.000000	0.022233	401.107242
680.000000	0.021103	380.717545
670.000000	0.020064	361.972136
660.000000	0.019283	347.885728
650.000000	0.018547	334.594041
640.000000	0.018016	325.029529
630.000000	0.017438	314.588030
620.000000	0.016930	305.434555
610.000000	0.016399	295.842621
600.000000	0.015524	280.057032
590.000000	0.014510	261.777588
580.000000	0.013859	250.020577
570.000000	0.013327	240.428676
560.000000	0.012411	223.903119
550.000000	0.011721	211.461034
540.000000	0.011311	204.061530
530.000000	0.010579	190.852089
520.000000	0.009447	170.434955
510.000000	0.008288	149.524537
500.000000	0.007125	128.531907
490.000000	0.005918	106.757072
480.000000	0.004722	85.193291
470.000000	0.003725	67.197339
460.000000	0.002705	48.797023
450.000000	0.001858	33.513390
440.000000	0.001155	20.845807
430.000000	0.000660	11.905599
420.000000	0.000272	4.910232
410.000000	4.620075E-5	0.833497
400.000000	-6.724343E-5	-1.213123
