Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 981.172578 W/m^2	
400.000000	3.003799E-5	0.541909
410.000000	0.000136	2.445485
420.000000	0.000372	6.709276
430.000000	0.000771	13.910956
440.000000	0.001285	23.189516
450.000000	0.001995	35.983638
460.000000	0.002860	51.605621
470.000000	0.003900	70.363550
480.000000	0.004914	88.648325
490.000000	0.006116	110.333145
500.000000	0.007311	131.902789
510.000000	0.008533	153.936852
520.000000	0.009730	175.532396
530.000000	0.010854	195.812479
540.000000	0.011633	209.871517
550.000000	0.012052	217.435443
560.000000	0.012795	230.836744
570.000000	0.013719	247.499302
580.000000	0.014284	257.694133
590.000000	0.014895	268.711160
600.000000	0.015960	287.922432
610.000000	0.016906	304.996064
620.000000	0.017498	315.684245
630.000000	0.018007	324.865073
640.000000	0.018540	334.484427
650.000000	0.019257	347.419847
660.000000	0.019868	358.436874
670.000000	0.020736	374.085412
680.000000	0.021778	392.885560
690.000000	0.022859	412.398306
700.000000	0.024328	438.899448
710.000000	0.026197	472.608284
720.000000	0.028208	508.893204
730.000000	0.030274	546.164757
740.000000	0.032639	588.835124
750.000000	0.034881	629.285607
760.000000	0.037225	671.572390
770.000000	0.039756	717.230013
780.000000	0.042490	766.559901
790.000000	0.045030	812.381979
800.000000	0.047982	865.630848
810.000000	0.050967	919.482764
