Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
760.000000	987.503218	-0.002104	0.043669	25.685965	2.389497E-6	19.998661	21.746158
740.000000	987.503218	-2.153125	0.629791	50.590107	0.069469	0.075600	-0.001000
720.000000	987.503218	-5.805832	0.658831	45.441803	0.176017	0.040693	0.487664
700.000000	987.503218	-10.513767	0.672246	42.101424	0.301332	0.028066	0.247864
680.000000	987.503218	-16.095062	0.680785	39.165249	0.434575	0.021897	0.109499
660.000000	987.503218	-21.098191	0.685796	37.382865	0.547740	0.018048	0.070174
640.000000	987.503218	-27.007427	0.690506	35.876766	0.677525	0.015071	0.068812
620.000000	987.503218	-32.856785	0.694142	34.816575	0.804121	0.012850	0.052356
600.000000	987.503218	-40.658342	0.697760	33.923012	0.974567	0.011383	0.043364
580.000000	987.503218	-45.309485	0.700078	33.264651	1.068514	0.010344	0.030282
560.000000	987.503218	-49.717657	0.702054	32.850746	1.161149	0.009495	0.026452
540.000000	987.503218	-53.954621	0.704146	32.833469	1.263193	0.008745	0.024771
520.000000	987.503218	-57.947217	0.706315	32.783879	1.358792	0.008125	0.020334
500.000000	987.503218	-60.577074	0.708393	32.742759	1.422851	0.007683	0.020668
480.000000	987.503218	-63.640856	0.711076	32.827710	1.504368	0.007219	0.020117
460.000000	987.503218	-66.737492	0.714113	32.966594	1.591009	0.007094	0.019210
440.000000	987.503218	-68.756457	0.717168	33.100439	1.652835	0.006732	0.020334
420.000000	987.503218	-71.116910	0.720340	33.130025	1.718674	0.006386	0.017731
400.000000	987.503218	-72.724094	0.723442	33.273768	1.772743	0.006081	0.017567
380.000000	987.503218	-73.970878	0.727617	33.380406	1.819352	0.005828	0.017483
360.000000	987.503218	-74.995794	0.734748	34.020062	1.898332	0.005632	0.020253
