Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
760.000000	987.503218	-0.001040	0.000616	0.000000	1.181098E-5	0.592349	0.592349
740.000000	987.503218	-1.105275	0.360867	33.354369	0.013472	0.164391	0.739576
720.000000	987.503218	-3.056218	0.496736	43.304449	0.066574	0.041846	0.337401
700.000000	987.503218	-5.629908	0.555096	49.107630	0.155410	0.017043	0.610796
680.000000	987.503218	-8.797469	0.591561	51.929552	0.273674	0.010719	0.189678
660.000000	987.503218	-11.901859	0.615191	53.119645	0.393860	0.008401	0.178422
640.000000	987.503218	-15.747341	0.636592	54.338891	0.551621	0.006562	0.479835
620.000000	987.503218	-19.951609	0.653743	55.387640	0.731576	0.005249	0.108768
600.000000	987.503218	-25.795034	0.671996	55.518009	0.974537	0.004102	0.101628
580.000000	987.503218	-29.370645	0.681099	55.992473	1.134265	0.003265	0.246379
560.000000	987.503218	-32.862915	0.688711	56.140657	1.286714	0.003181	0.101459
540.000000	987.503218	-36.394925	0.695692	56.382939	1.445663	0.002529	0.097038
520.000000	987.503218	-39.549038	0.700474	56.673367	1.589896	0.002463	1.233603
500.000000	987.503218	-42.040903	0.703345	56.085122	1.679383	0.002429	0.064765
480.000000	987.503218	-44.369778	0.706569	56.464120	1.792570	0.002418	0.087955
460.000000	987.503218	-46.473266	0.709188	56.272306	1.878110	0.002342	0.049255
440.000000	987.503218	-47.861649	0.710526	56.636288	1.950400	0.001910	0.059674
420.000000	987.503218	-49.348866	0.711920	56.976442	2.027054	0.001865	0.071541
400.000000	987.503218	-50.435784	0.712143	57.052256	2.075106	0.001852	0.116254
380.000000	987.503218	-51.285124	0.712192	57.091341	2.111640	0.001810	0.074740
360.000000	987.503218	-51.383488	0.711352	57.665051	2.134431	0.001759	0.059976
