Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1076.543839	-0.202510	0.378330	57.563369	0.004097	0.293043	8.343843
800.000000	1076.543839	-14.092500	0.560811	66.712936	0.489759	0.003775	-0.001000
790.000000	1076.543839	-27.324062	0.583967	66.073797	0.979334	0.001981	-0.001000
780.000000	1076.543839	-39.089511	0.596455	66.199497	1.433710	0.001433	0.081761
770.000000	1076.543839	-50.478913	0.605383	65.438950	1.857569	0.001209	0.147442
760.000000	1076.543839	-61.167052	0.612021	64.787978	2.252923	0.001063	-0.001000
750.000000	1076.543839	-72.115600	0.617483	64.482427	2.667252	0.000934	-0.001000
740.000000	1076.543839	-82.282220	0.621962	63.979918	3.041456	0.000798	0.082733
730.000000	1076.543839	-92.150753	0.625735	63.677475	3.410700	0.000791	0.185181
720.000000	1076.543839	-102.217808	0.629360	63.467155	3.792651	0.000713	0.032764
710.000000	1076.543839	-111.121197	0.632096	63.642919	4.152389	0.000692	0.030168
700.000000	1076.543839	-121.027640	0.635253	62.594508	4.470293	0.000680	0.125098
690.000000	1076.543839	-130.599414	0.637651	62.652853	4.846560	0.000603	0.034517
680.000000	1076.543839	-139.593993	0.639914	62.359310	5.174378	0.000598	-0.001000
670.000000	1076.543839	-147.989180	0.641963	62.329577	5.500500	0.000601	-0.001000
660.000000	1076.543839	-155.873172	0.643489	61.879031	5.765330	0.000550	-0.001000
650.000000	1076.543839	-163.561049	0.645200	61.664265	6.044720	0.000532	0.016462
640.000000	1076.543839	-171.982429	0.646965	61.733979	6.380541	0.000525	0.011635
630.000000	1076.543839	-182.124217	0.648711	61.263415	6.723397	0.000514	0.006700
620.000000	1076.543839	-189.745768	0.650212	60.938313	6.983708	0.000491	-0.001000
610.000000	1076.543839	-197.474731	0.651305	61.483801	7.345556	0.000479	0.105506
600.000000	1076.543839	-208.226747	0.653306	61.053124	7.714878	0.000469	0.011071
590.000000	1076.543839	-216.107981	0.654645	60.594011	7.962962	0.000459	0.013035
580.000000	1076.543839	-222.958937	0.655613	60.968966	8.278454	0.000437	0.023646
570.000000	1076.543839	-229.183817	0.656425	60.249790	8.419631	0.000427	0.033162
560.000000	1076.543839	-235.961273	0.657217	60.097240	8.657104	0.000424	0.026408
550.000000	1076.543839	-241.047414	0.657934	59.945048	8.830924	0.000427	-0.001000
540.000000	1076.543839	-244.561892	0.658824	60.132643	8.999884	0.000416	0.012265
530.000000	1076.543839	-251.425461	0.659056	59.360216	9.136819	0.000415	0.019988
520.000000	1076.543839	-255.425405	0.659514	59.673465	9.337645	0.000417	-0.001000
510.000000	1076.543839	-258.648365	0.660199	59.263701	9.400301	0.000419	-0.001000
500.000000	1076.543839	-264.669760	0.660622	59.286235	9.628958	0.000410	0.047958
490.000000	1076.543839	-266.559187	0.661292	59.791324	9.790242	0.000409	0.019132
480.000000	1076.543839	-271.262298	0.661293	59.292677	9.879908	0.000414	0.064749
470.000000	1076.543839	-275.149304	0.661924	59.379699	10.045767	0.000404	0.014719
460.000000	1076.543839	-277.923039	0.661992	59.332433	10.139996	0.000403	0.050361
450.000000	1076.543839	-282.360010	0.662345	58.888718	10.230285	0.000397	0.052801
440.000000	1076.543839	-284.576636	0.662596	58.632795	10.269687	0.000378	0.014398
430.000000	1076.543839	-286.877729	0.662463	58.863936	10.391445	0.000390	-0.001000
420.000000	1076.543839	-288.082350	0.662646	59.052302	10.471360	0.000386	0.059870
410.000000	1076.543839	-291.630844	0.662697	58.280043	10.462524	0.000379	0.007556
400.000000	1076.543839	-290.870589	0.663111	59.495647	10.659570	0.000379	0.019824
