Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1094.384842	-0.222382	0.405374	45.018989	0.003708	0.411006	4.648845
800.000000	1094.384842	-14.958491	0.665705	60.345996	0.549096	0.006060	-0.001000
790.000000	1094.384842	-28.816175	0.694542	60.415533	1.104876	0.003029	0.290281
780.000000	1094.384842	-41.359351	0.708948	60.020776	1.608124	0.002298	-0.001000
770.000000	1094.384842	-53.239357	0.719692	59.814520	2.094190	0.001818	-0.001000
760.000000	1094.384842	-64.833102	0.727347	59.654411	2.570461	0.001462	0.121476
750.000000	1094.384842	-75.932720	0.733460	59.534853	3.029750	0.001382	-0.001000
740.000000	1094.384842	-86.708705	0.738565	58.927904	3.448277	0.001135	0.045099
730.000000	1094.384842	-96.478106	0.742668	58.744357	3.846090	0.001082	-0.001000
720.000000	1094.384842	-107.466434	0.746266	58.674118	4.299747	0.001051	-0.001000
710.000000	1094.384842	-117.693876	0.749606	58.434552	4.710710	0.000891	0.137548
700.000000	1094.384842	-127.193745	0.752497	58.234414	5.093078	0.000858	0.050061
690.000000	1094.384842	-137.572855	0.755013	57.827612	5.488484	0.000842	0.013186
680.000000	1094.384842	-145.560440	0.757304	58.511995	5.893707	0.000818	0.041581
670.000000	1094.384842	-154.642722	0.759269	57.797075	6.200989	0.000797	-0.001000
660.000000	1094.384842	-162.930725	0.761117	57.326207	6.495874	0.000688	3.683925
650.000000	1094.384842	-170.540564	0.762601	57.535392	6.837388	0.000683	-0.001000
640.000000	1094.384842	-178.852265	0.764086	57.627573	7.196091	0.000666	0.027762
630.000000	1094.384842	-187.369851	0.765833	57.813867	7.580463	0.000649	-0.001000
620.000000	1094.384842	-196.955135	0.767206	56.931502	7.860710	0.000639	-0.001000
610.000000	1094.384842	-203.317912	0.768470	57.164744	8.161323	0.000621	0.037471
600.000000	1094.384842	-210.010622	0.769569	57.039865	8.423596	0.000617	0.015013
590.000000	1094.384842	-218.166482	0.770485	56.543985	8.684970	0.000607	0.044723
580.000000	1094.384842	-222.882768	0.771221	56.565672	8.884612	0.000601	-0.001000
570.000000	1094.384842	-229.261448	0.772396	56.283547	9.107152	0.000538	0.023143
560.000000	1094.384842	-233.318304	0.773048	56.397266	9.294863	0.000536	0.027500
550.000000	1094.384842	-239.395895	0.773659	56.324345	9.532182	0.000530	0.238017
540.000000	1094.384842	-245.143458	0.774492	56.409037	9.786240	0.000525	0.061283
530.000000	1094.384842	-250.161348	0.775134	56.263466	9.969043	0.000517	0.024508
520.000000	1094.384842	-253.808148	0.775660	56.399068	10.145622	0.000516	0.042989
510.000000	1094.384842	-260.076039	0.776418	56.549600	10.434115	0.000507	0.006824
500.000000	1094.384842	-265.159168	0.776888	56.902905	10.710980	0.000503	0.025233
490.000000	1094.384842	-271.043960	0.777387	55.898123	10.762278	0.000497	0.026331
480.000000	1094.384842	-276.039702	0.777835	55.884936	10.964369	0.000494	0.039808
470.000000	1094.384842	-281.910993	0.778099	55.473660	11.118946	0.000495	0.098304
460.000000	1094.384842	-286.079961	0.778013	56.115910	11.412752	0.000482	0.021729
450.000000	1094.384842	-292.256332	0.778141	55.411368	11.514657	0.000485	0.573292
440.000000	1094.384842	-296.679036	0.778089	55.134899	11.629809	0.000479	0.019044
430.000000	1094.384842	-300.668918	0.777835	55.064850	11.767392	0.000471	0.109788
420.000000	1094.384842	-304.041135	0.777144	54.826304	11.837298	0.000471	0.095869
410.000000	1094.384842	-307.543910	0.776028	54.793323	11.949289	0.000469	0.015376
400.000000	1094.384842	-310.411875	0.774213	54.254114	11.914105	0.000466	0.017658
