Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1088.273430	-0.075115	0.105273	26.672374	0.000194	1.125207	1.610316
800.000000	1088.273430	-5.181437	0.494303	50.291937	0.118360	0.019847	1.407851
790.000000	1088.273430	-9.816813	0.547099	51.883167	0.256050	0.011494	0.192876
780.000000	1088.273430	-13.871109	0.575127	52.922285	0.387950	0.008228	0.151998
770.000000	1088.273430	-17.649824	0.594392	52.836550	0.509342	0.006212	0.095139
760.000000	1088.273430	-21.355238	0.609324	52.754269	0.630772	0.005241	1.883619
750.000000	1088.273430	-25.129158	0.621764	53.427157	0.767057	0.004067	0.114416
740.000000	1088.273430	-28.396543	0.630395	53.057531	0.872745	0.004053	0.083643
730.000000	1088.273430	-31.890190	0.637976	52.972822	0.990323	0.003368	0.095259
720.000000	1088.273430	-35.326698	0.645577	53.440637	1.119914	0.002893	0.110286
710.000000	1088.273430	-38.524175	0.651374	53.447229	1.232398	0.002555	0.042645
700.000000	1088.273430	-41.689562	0.656682	53.402665	1.343407	0.002493	0.232825
690.000000	1088.273430	-44.831093	0.661374	54.039090	1.472301	0.002495	0.128974
680.000000	1088.273430	-47.882004	0.665512	53.501289	1.566586	0.002096	0.068815
670.000000	1088.273430	-50.620154	0.668783	54.132093	1.683935	0.002078	0.035510
660.000000	1088.273430	-52.870877	0.671712	54.065885	1.764350	0.001813	0.147620
650.000000	1088.273430	-55.372719	0.674682	53.621215	1.840744	0.001808	0.033408
640.000000	1088.273430	-58.255517	0.677551	53.799144	1.951265	0.001784	0.159568
630.000000	1088.273430	-61.534146	0.680661	54.177793	2.085116	0.001752	0.035991
620.000000	1088.273430	-64.250766	0.683251	53.803779	2.170367	0.001524	0.126467
610.000000	1088.273430	-66.478215	0.684979	53.578832	2.241878	0.001499	0.039897
600.000000	1088.273430	-69.017362	0.687799	53.860632	2.349382	0.001483	0.030552
590.000000	1088.273430	-71.228780	0.689801	54.568907	2.463694	0.001483	0.058244
580.000000	1088.273430	-73.836106	0.691696	54.467888	2.556150	0.001309	0.043416
570.000000	1088.273430	-75.911406	0.693243	53.787231	2.600960	0.001271	0.052932
560.000000	1088.273430	-77.859235	0.694667	54.500508	2.708626	0.001259	0.030144
550.000000	1088.273430	-80.336489	0.696008	54.387358	2.794388	0.001282	0.036614
540.000000	1088.273430	-82.430818	0.697281	54.017787	2.852962	0.001259	0.033254
530.000000	1088.273430	-84.301654	0.698466	53.800115	2.910896	0.001236	0.020594
520.000000	1088.273430	-85.932898	0.699743	54.125860	2.990644	0.001230	0.088718
510.000000	1088.273430	-88.341207	0.701212	54.534948	3.104197	0.001216	0.022346
500.000000	1088.273430	-90.346642	0.702778	54.168748	3.160391	0.001067	0.030466
490.000000	1088.273430	-92.448296	0.703671	54.372476	3.250197	0.001062	0.064108
480.000000	1088.273430	-94.054675	0.704286	54.387650	3.310483	0.001057	0.114432
470.000000	1088.273430	-95.971664	0.705219	54.670779	3.400044	0.001048	0.038438
460.000000	1088.273430	-98.161639	0.705927	54.492094	3.469742	0.001029	0.026720
450.000000	1088.273430	-99.881408	0.706193	54.571238	3.536992	0.001020	0.031456
440.000000	1088.273430	-101.553741	0.705887	54.145203	3.566591	0.001013	0.023895
430.000000	1088.273430	-102.884373	0.705241	54.262763	3.617854	0.001012	0.028264
420.000000	1088.273430	-104.024554	0.703922	54.131996	3.642304	0.000971	0.090118
410.000000	1088.273430	-104.477699	0.701539	54.390534	3.663203	0.000951	0.016295
400.000000	1088.273430	-104.622179	0.698055	54.378783	3.649261	0.001020	0.048500
