Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1107.265488	-1.220848	0.613854	63.709903	0.043120	0.046330	4.711671
410.000000	1107.265488	-1.866763	0.632092	63.383379	0.067545	0.029485	1.424357
420.000000	1107.265488	-3.132075	0.653408	62.967106	0.116380	0.018608	-0.001000
430.000000	1107.265488	-5.262373	0.674103	62.950557	0.201677	0.011772	0.892977
440.000000	1107.265488	-8.035574	0.690487	63.035363	0.315868	0.009066	0.798435
450.000000	1107.265488	-12.172368	0.705941	62.571146	0.485586	0.005818	2.018639
460.000000	1107.265488	-17.341122	0.718754	61.721233	0.694769	0.004508	-0.001000
470.000000	1107.265488	-23.976824	0.730048	61.085881	0.965678	0.003542	0.299201
480.000000	1107.265488	-30.549239	0.738233	60.600041	1.234284	0.002824	0.391663
490.000000	1107.265488	-38.655686	0.746161	60.113203	1.565901	0.002318	0.142968
500.000000	1107.265488	-47.481252	0.752831	59.517697	1.921384	0.001941	0.497672
510.000000	1107.265488	-56.085350	0.757719	58.926361	2.261599	0.001838	0.245421
520.000000	1107.265488	-64.910928	0.762666	58.167954	2.600664	0.001562	0.365893
530.000000	1107.265488	-73.811901	0.766154	57.608767	2.942247	0.001498	0.044468
540.000000	1107.265488	-79.660414	0.768560	57.234755	3.164670	0.001440	0.049044
550.000000	1107.265488	-83.227749	0.769763	57.591224	3.332190	0.001407	0.212008
560.000000	1107.265488	-88.878489	0.771754	56.973628	3.529374	0.001385	0.097732
570.000000	1107.265488	-96.849175	0.774178	56.754068	3.843100	0.001232	0.039343
580.000000	1107.265488	-102.255733	0.775687	56.316654	4.034219	0.001207	0.065319
590.000000	1107.265488	-107.123877	0.776957	56.260303	4.228961	0.001192	0.032920
600.000000	1107.265488	-116.231850	0.779351	55.741626	4.560221	0.001144	0.219874
610.000000	1107.265488	-124.701750	0.781304	55.608489	4.893078	0.001110	0.065267
620.000000	1107.265488	-129.255261	0.782473	55.296705	5.050860	0.001094	0.046355
630.000000	1107.265488	-135.189559	0.783410	54.857985	5.247110	0.001006	0.021542
640.000000	1107.265488	-139.167771	0.784254	54.947754	5.416185	0.000991	0.045413
650.000000	1107.265488	-144.773564	0.785018	54.431839	5.586890	0.000984	0.040658
660.000000	1107.265488	-149.949015	0.786121	54.501019	5.802109	0.000964	0.035071
670.000000	1107.265488	-156.446875	0.787035	54.090354	6.014907	0.000951	0.029603
680.000000	1107.265488	-164.286228	0.788291	53.689201	6.279468	0.000929	0.021866
690.000000	1107.265488	-172.001755	0.789586	53.244577	6.530644	0.000915	0.143241
700.000000	1107.265488	-180.335047	0.790717	53.223223	6.854104	0.000898	0.040116
710.000000	1107.265488	-190.192409	0.792235	53.069230	7.221679	0.000870	-0.001000
720.000000	1107.265488	-202.510208	0.793579	52.321813	7.593954	0.000808	0.072247
730.000000	1107.265488	-210.992029	0.794847	52.390851	7.935116	0.000786	0.029253
740.000000	1107.265488	-221.447436	0.795656	51.778070	8.239297	0.000781	0.045625
750.000000	1107.265488	-229.599059	0.796673	51.646605	8.531794	0.000765	0.023749
760.000000	1107.265488	-239.020639	0.797302	51.326714	8.833851	0.000752	0.061627
770.000000	1107.265488	-244.784872	0.798119	51.252553	9.043069	0.000734	0.033892
780.000000	1107.265488	-253.583974	0.798635	50.668090	9.267289	0.000729	-0.001000
790.000000	1107.265488	-258.437958	0.799084	50.855657	9.484978	0.000726	0.011303
800.000000	1107.265488	-264.681613	0.799511	50.678588	9.685471	0.000713	-0.001000
810.000000	1107.265488	-269.736689	0.799867	50.563435	9.852414	0.000706	0.017972
