Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1107.265488	-1.203277	0.617842	64.268712	0.043151	0.048226	30.608290
410.000000	1107.265488	-1.850168	0.636175	64.504118	0.068568	0.029939	1.494032
420.000000	1107.265488	-3.109864	0.657574	64.651367	0.119402	0.018918	1.449990
430.000000	1107.265488	-5.202315	0.677803	64.954345	0.206851	0.011421	0.915758
440.000000	1107.265488	-7.941089	0.694163	64.393462	0.320576	0.007177	-0.001000
450.000000	1107.265488	-11.934559	0.709074	64.115599	0.490016	0.005546	0.482373
460.000000	1107.265488	-16.905007	0.721712	63.231623	0.696725	0.003549	0.642590
470.000000	1107.265488	-23.111482	0.732397	62.618881	0.957255	0.002805	0.124232
480.000000	1107.265488	-29.356341	0.740465	62.473627	1.226454	0.002623	0.093233
490.000000	1107.265488	-37.173544	0.748083	61.743923	1.550693	0.002119	-0.001000
500.000000	1107.265488	-45.463076	0.754593	60.930802	1.887804	0.001738	0.115916
510.000000	1107.265488	-53.662478	0.759772	60.579300	2.230626	0.001632	0.079322
520.000000	1107.265488	-62.487430	0.764591	60.326931	2.603041	0.001371	0.104853
530.000000	1107.265488	-70.565425	0.768052	59.684867	2.921428	0.001313	0.066999
540.000000	1107.265488	-76.643284	0.770272	59.237972	3.158397	0.001294	0.061314
550.000000	1107.265488	-80.025418	0.771609	59.253661	3.304370	0.001264	0.177762
560.000000	1107.265488	-85.204421	0.773424	58.985961	3.510563	0.001116	0.224716
570.000000	1107.265488	-92.443921	0.775663	58.610148	3.795533	0.001088	0.205833
580.000000	1107.265488	-96.830936	0.776984	58.514950	3.975954	0.001058	-0.001000
590.000000	1107.265488	-101.853358	0.778306	58.431405	4.183312	0.001046	0.076346
600.000000	1107.265488	-109.781952	0.780315	57.789848	4.470959	0.001014	0.118335
610.000000	1107.265488	-117.714845	0.782238	57.466476	4.778957	0.000993	0.038955
620.000000	1107.265488	-122.534636	0.783284	57.062389	4.946252	0.000893	0.042315
630.000000	1107.265488	-126.220288	0.784156	57.273773	5.119597	0.000881	0.034224
640.000000	1107.265488	-131.134241	0.784922	56.598332	5.261320	0.000871	0.186839
650.000000	1107.265488	-135.532193	0.785893	56.867681	5.470407	0.000856	0.029528
660.000000	1107.265488	-140.207432	0.786659	56.726829	5.650596	0.000847	0.057360
670.000000	1107.265488	-145.969976	0.787735	56.837266	5.902351	0.000829	0.101720
680.000000	1107.265488	-152.719506	0.789004	55.934935	6.087022	0.000818	0.032811
690.000000	1107.265488	-160.765004	0.790039	55.451403	6.360641	0.000797	0.149786
700.000000	1107.265488	-168.995413	0.791315	55.573425	6.711812	0.000782	0.017342
710.000000	1107.265488	-178.597480	0.792686	55.146166	7.050823	0.000770	0.014920
720.000000	1107.265488	-188.623989	0.793994	54.948916	7.432273	0.000701	0.030291
730.000000	1107.265488	-197.369127	0.795166	54.614273	7.740898	0.000684	0.013755
740.000000	1107.265488	-206.604256	0.796196	54.739574	8.132211	0.000670	0.022449
750.000000	1107.265488	-214.673372	0.797041	54.370526	8.401772	0.000661	0.036199
760.000000	1107.265488	-222.991898	0.797741	54.095828	8.690870	0.000657	0.010873
770.000000	1107.265488	-229.825651	0.798393	53.928046	8.936722	0.000646	0.031891
780.000000	1107.265488	-235.731935	0.799052	53.690227	9.133493	0.000636	0.161813
790.000000	1107.265488	-241.794209	0.799473	53.816939	9.395436	0.000632	0.033401
800.000000	1107.265488	-248.583134	0.799941	53.151307	9.545351	0.000624	0.015961
810.000000	1107.265488	-252.482043	0.800169	53.121975	9.692479	0.000620	0.185328
