Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	2.558875E-9	3.000160E+2	3.975475E+0
3.099890E+2	2.561150E-9	3.099890E+2	3.841189E+0
3.199890E+2	2.936770E-9	3.199890E+2	6.123221E+0
3.300140E+2	3.640720E-9	3.300140E+2	1.183681E+1
3.399890E+2	4.312395E-9	3.399890E+2	1.667697E+1
3.499890E+2	4.187340E-9	3.499890E+2	2.025710E+1
3.600130E+2	4.577970E-9	3.600130E+2	2.318639E+1
3.699860E+2	4.821715E-9	3.699860E+2	2.546586E+1
3.799830E+2	5.363320E-9	3.799830E+2	2.575818E+1
3.900020E+2	6.357400E-9	3.900020E+2	2.428455E+1
4.000060E+2	8.048175E-9	4.000060E+2	2.372673E+1
4.099950E+2	9.268715E-9	4.099950E+2	2.423321E+1
4.200050E+2	1.092125E-8	4.200050E+2	2.521138E+1
4.299990E+2	1.221460E-8	4.299990E+2	2.778539E+1
4.400140E+2	1.386620E-8	4.400140E+2	3.147879E+1
4.500110E+2	1.564345E-8	4.500110E+2	3.589262E+1
4.599900E+2	1.782260E-8	4.599900E+2	3.964413E+1
4.699890E+2	2.350875E-8	4.699890E+2	4.287157E+1
4.800060E+2	2.042375E-8	4.800060E+2	4.512568E+1
4.900030E+2	2.050740E-8	4.900030E+2	4.783873E+1
4.999820E+2	2.065660E-8	4.999820E+2	5.020524E+1
5.100140E+2	2.005995E-8	5.100140E+2	5.224013E+1
5.199880E+2	2.096210E-8	5.199880E+2	5.400755E+1
5.300150E+2	2.207170E-8	5.300150E+2	5.500926E+1
5.399840E+2	2.295215E-8	5.399840E+2	5.497865E+1
5.500040E+2	2.368340E-8	5.500040E+2	5.458279E+1
5.000050E+2	2.797980E-8	5.000050E+2	5.153952E+1
5.100050E+2	3.141055E-8	5.100050E+2	5.399791E+1
5.199990E+2	3.631090E-8	5.199990E+2	5.516722E+1
5.299890E+2	3.915220E-8	5.299890E+2	5.630060E+1
5.399740E+2	4.140770E-8	5.399740E+2	5.599569E+1
5.500300E+2	4.475100E-8	5.500300E+2	5.555369E+1
5.600050E+2	4.921480E-8	5.600050E+2	5.443050E+1
5.699740E+2	5.416250E-8	5.699740E+2	5.274145E+1
5.800150E+2	5.943020E-8	5.800150E+2	5.165654E+1
5.899730E+2	6.450910E-8	5.899730E+2	5.102544E+1
6.000020E+2	6.763775E-8	6.000020E+2	5.120825E+1
6.100260E+2	7.079555E-8	6.100260E+2	5.091198E+1
6.199670E+2	7.078100E-8	6.199670E+2	4.947635E+1
6.299790E+2	7.168320E-8	6.299790E+2	4.778413E+1
6.399850E+2	7.308020E-8	6.399850E+2	4.637515E+1
6.499850E+2	7.750400E-8	6.499850E+2	4.434587E+1
6.599790E+2	7.932295E-8	6.599790E+2	3.826136E+1
6.699660E+2	8.443070E-8	6.699660E+2	2.731942E+1
6.800240E+2	9.041150E-8	6.800240E+2	1.602396E+1
6.899990E+2	9.607220E-8	6.899990E+2	8.491682E+0
6.999670E+2	8.927645E-8	6.999670E+2	4.200972E+0
7.100030E+2	9.092080E-8	7.100030E+2	1.835987E+0
7.200340E+2	9.352565E-8	7.200340E+2	8.409353E-1
7.299820E+2	9.157565E-8	7.299820E+2	3.600777E-1
7.399980E+2	9.339465E-8	7.399980E+2	1.701660E-1
7.500080E+2	9.055705E-8	7.500080E+2	9.128145E-2
7.600110E+2	1.001760E-7	7.600110E+2	5.247650E-2
7.700050E+2	1.081790E-7	7.700050E+2	3.801316E-2
7.799930E+2	7.631070E-8	7.799930E+2	4.274285E-2
7.899730E+2	8.149120E-8	7.899730E+2	3.831425E-2
8.000200E+2	8.460530E-8	8.000200E+2	3.606981E-2
8.099850E+2	8.221880E-8	0.000000E+0	0.000000E+0
8.200170E+2	2.672330E-7	0.000000E+0	0.000000E+0
8.299660E+2	4.525375E-7	0.000000E+0	0.000000E+0
8.399820E+2	1.827440E-7	0.000000E+0	0.000000E+0
8.499900E+2	7.923565E-8	0.000000E+0	0.000000E+0
8.599890E+2	7.412790E-8	0.000000E+0	0.000000E+0
8.699800E+2	1.146405E-7	0.000000E+0	0.000000E+0
8.800370E+2	5.280055E-7	0.000000E+0	0.000000E+0
8.900120E+2	5.041110E-7	0.000000E+0	0.000000E+0
8.999770E+2	4.364425E-7	0.000000E+0	0.000000E+0
9.100080E+2	4.257325E-7	0.000000E+0	0.000000E+0
9.200290E+2	5.228540E-7	0.000000E+0	0.000000E+0
9.299690E+2	2.037570E-7	0.000000E+0	0.000000E+0
9.399710E+2	2.860635E-7	0.000000E+0	0.000000E+0
9.499660E+2	3.401965E-7	0.000000E+0	0.000000E+0
9.600260E+2	2.174360E-7	0.000000E+0	0.000000E+0
9.700000E+2	2.095480E-7	0.000000E+0	0.000000E+0
9.799660E+2	5.204385E-7	0.000000E+0	0.000000E+0
9.899970E+2	5.009970E-7	0.000000E+0	0.000000E+0
1.000017E+3	3.799230E-7	0.000000E+0	0.000000E+0
1.010027E+3	1.714805E-7	0.000000E+0	0.000000E+0
1.020027E+3	1.447635E-7	0.000000E+0	0.000000E+0
1.030016E+3	8.841790E-8	0.000000E+0	0.000000E+0
1.039996E+3	7.197420E-8	0.000000E+0	0.000000E+0
1.049965E+3	6.661910E-8	0.000000E+0	0.000000E+0
