Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1068.678458	-0.066524	0.293553	27.130420	0.000496	3.630509	5.111129
800.000000	1068.678458	-0.111785	0.437622	30.139518	0.001380	2.988742	4.143706
790.000000	1068.678458	-0.205454	0.612218	32.482744	0.003823	1.508621	-0.001000
780.000000	1068.678458	-0.321716	0.787800	34.259686	0.008125	0.953335	19.393522
770.000000	1068.678458	-0.493143	0.896429	36.447936	0.015077	0.661238	3.596025
760.000000	1068.678458	-0.691726	0.950824	41.561315	0.025579	0.254326	-0.001000
750.000000	1068.678458	-0.952602	0.978856	44.105906	0.038484	0.142234	1.049601
740.000000	1068.678458	-1.269503	0.997444	46.557148	0.055165	0.095729	2.304509
730.000000	1068.678458	-1.607728	1.012698	49.024713	0.074690	0.068676	1.468893
720.000000	1068.678458	-2.062224	1.026426	51.066981	0.101148	0.048814	-0.001000
710.000000	1068.678458	-2.528844	1.036719	54.532582	0.133780	0.034552	0.663910
700.000000	1068.678458	-3.174122	1.046446	54.945016	0.170774	0.032072	-0.001000
690.000000	1068.678458	-3.856623	1.056105	57.271409	0.218276	0.023153	0.479622
680.000000	1068.678458	-4.751920	1.063784	57.050915	0.269860	0.017709	1.226268
670.000000	1068.678458	-5.684164	1.070721	57.110309	0.325245	0.016481	0.442558
660.000000	1068.678458	-6.672810	1.077135	58.512083	0.393530	0.015778	-0.001000
650.000000	1068.678458	-7.927542	1.083703	57.882655	0.465318	0.012159	0.709255
640.000000	1068.678458	-9.546310	1.090317	57.973366	0.564637	0.011354	-0.001000
630.000000	1068.678458	-11.529383	1.097310	59.177005	0.700553	0.009210	-0.001000
620.000000	1068.678458	-13.417396	1.103395	59.044909	0.817965	0.008418	0.862551
610.000000	1068.678458	-15.809050	1.109478	59.008168	0.968477	0.006942	0.263692
600.000000	1068.678458	-18.728693	1.115282	59.092472	1.154988	0.006483	0.395825
590.000000	1068.678458	-21.726884	1.120447	58.934764	1.342496	0.006084	1.433036
580.000000	1068.678458	-24.867653	1.125489	58.923220	1.543176	0.005093	-0.001000
570.000000	1068.678458	-27.867368	1.129128	58.573967	1.724632	0.004883	-0.001000
560.000000	1068.678458	-30.887455	1.132577	58.384267	1.911167	0.004676	-0.001000
550.000000	1068.678458	-34.083006	1.135734	57.883465	2.096631	0.004495	-0.001000
540.000000	1068.678458	-37.424612	1.139159	57.654957	2.300018	0.004275	0.319841
530.000000	1068.678458	-40.683006	1.141822	58.095226	2.525253	0.003764	0.118172
520.000000	1068.678458	-43.757790	1.144119	57.690658	2.702620	0.003646	0.086994
510.000000	1068.678458	-47.808963	1.146810	57.552397	2.952685	0.003495	0.196982
500.000000	1068.678458	-51.382285	1.148971	57.295582	3.165166	0.003375	0.094882
490.000000	1068.678458	-55.070078	1.150984	56.538974	3.353404	0.003266	-0.001000
480.000000	1068.678458	-58.386432	1.152937	57.036323	3.592708	0.003149	0.219956
470.000000	1068.678458	-62.161719	1.154775	56.594662	3.801447	0.003058	0.584192
460.000000	1068.678458	-66.119676	1.156554	56.330899	4.030847	0.002781	0.177466
450.000000	1068.678458	-69.328308	1.157792	56.010803	4.206937	0.002730	0.839305
440.000000	1068.678458	-72.393991	1.158930	56.233548	4.414772	0.002664	0.070030
430.000000	1068.678458	-75.477549	1.160023	55.592396	4.554625	0.002607	-0.001000
420.000000	1068.678458	-77.552466	1.160794	55.562020	4.680388	0.002575	0.168807
410.000000	1068.678458	-79.115062	1.161305	55.378886	4.761048	0.002558	0.261618
400.000000	1068.678458	-80.600709	1.161915	55.396112	4.854511	0.002523	0.065739
