Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
395.000000	1042.670581	-0.255121	0.359217	51.801759	0.004553	0.222487	5.754726
405.000000	1042.670581	-0.427674	0.380241	54.359468	0.008478	0.114869	4.937142
415.000000	1042.670581	-0.609163	0.393957	55.311576	0.012731	0.072835	1.978541
425.000000	1042.670581	-0.960368	0.410645	57.240131	0.021650	0.045397	1.450475
435.000000	1042.670581	-1.557018	0.427332	58.469551	0.037311	0.027930	1.152568
445.000000	1042.670581	-2.508109	0.443682	59.051224	0.063023	0.017048	1.977070
455.000000	1042.670581	-3.618817	0.455938	59.829482	0.094676	0.013262	0.409834
465.000000	1042.670581	-5.085277	0.466857	59.988363	0.136590	0.008200	0.400513
475.000000	1042.670581	-7.048845	0.477178	60.486471	0.195124	0.006355	-0.001000
485.000000	1042.670581	-9.301321	0.485926	61.067122	0.264713	0.004956	0.191668
495.000000	1042.670581	-12.121679	0.494179	61.054073	0.350764	0.003844	0.195304
505.000000	1042.670581	-15.269446	0.501052	61.328905	0.450012	0.003012	0.119633
515.000000	1042.670581	-18.427010	0.507056	61.190015	0.548333	0.002391	0.176014
525.000000	1042.670581	-22.049807	0.512305	61.276755	0.663868	0.002328	0.160874
535.000000	1042.670581	-25.000778	0.516152	61.703988	0.763655	0.001871	0.152390
545.000000	1042.670581	-26.860608	0.518141	61.458647	0.820351	0.001857	0.079313
555.000000	1042.670581	-28.569606	0.519955	61.877285	0.881564	0.001814	0.049445
565.000000	1042.670581	-31.781133	0.523255	61.484967	0.980629	0.001482	8.578082
575.000000	1042.670581	-34.620003	0.525546	61.461510	1.072492	0.001466	0.255928
585.000000	1042.670581	-36.716482	0.527266	61.520109	1.142249	0.001452	0.096013
595.000000	1042.670581	-39.909610	0.529691	61.930048	1.255609	0.001405	0.062031
605.000000	1042.670581	-44.479053	0.532781	62.164286	1.412856	0.001177	0.201318
615.000000	1042.670581	-47.962308	0.534727	61.489776	1.512475	0.001149	0.461103
625.000000	1042.670581	-50.234497	0.535975	61.749048	1.594518	0.001130	2.469725
635.000000	1042.670581	-52.657098	0.537466	61.393091	1.666405	0.001118	0.035657
645.000000	1042.670581	-55.305258	0.538825	61.513681	1.758082	0.000948	0.050425
655.000000	1042.670581	-58.428789	0.539997	61.640367	1.865248	0.000945	0.080996
665.000000	1042.670581	-61.196232	0.541372	61.310744	1.948096	0.000923	0.030368
675.000000	1042.670581	-65.087030	0.543065	62.109973	2.105524	0.000914	0.029312
685.000000	1042.670581	-70.096670	0.544910	61.424871	2.250192	0.000897	0.054175
695.000000	1042.670581	-74.826765	0.546877	61.338660	2.407318	0.000778	0.097224
705.000000	1042.670581	-81.549223	0.548983	61.394712	2.636102	0.000756	0.030635
715.000000	1042.670581	-90.035917	0.551527	60.828359	2.896955	0.000727	0.019124
725.000000	1042.670581	-98.401803	0.553708	61.019341	3.188630	0.000721	0.086134
735.000000	1042.670581	-106.715433	0.555891	60.728403	3.455106	0.000629	0.009287
745.000000	1042.670581	-116.259259	0.557755	59.735600	3.714983	0.000607	0.025406
755.000000	1042.670581	-124.085342	0.559868	60.900108	4.057676	0.000594	-0.001000
765.000000	1042.670581	-133.661941	0.561365	60.409995	4.347255	0.000584	-0.001000
775.000000	1042.670581	-142.380641	0.562856	60.205226	4.627378	0.000568	0.023999
785.000000	1042.670581	-153.744149	0.564638	59.343530	4.940771	0.000518	0.014178
795.000000	1042.670581	-163.877149	0.566055	59.548535	5.297863	0.000508	0.029648
805.000000	1042.670581	-174.568518	0.567480	59.937159	5.694630	0.000508	0.029710
