Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	1.530915E-9	3.000160E+2	2.003587E+1
3.099890E+2	2.198260E-9	3.099890E+2	1.352352E+1
3.199890E+2	2.935860E-9	3.199890E+2	1.548453E+1
3.300140E+2	3.656180E-9	3.300140E+2	2.317918E+1
3.399890E+2	4.290115E-9	3.399890E+2	2.697098E+1
3.499890E+2	4.158695E-9	3.499890E+2	2.908998E+1
3.600130E+2	4.548865E-9	3.600130E+2	2.955229E+1
3.699860E+2	4.798065E-9	3.699860E+2	2.854015E+1
3.799830E+2	5.315120E-9	3.799830E+2	2.449945E+1
3.900020E+2	6.317380E-9	3.900020E+2	2.161417E+1
4.000060E+2	8.008155E-9	4.000060E+2	2.027709E+1
4.099950E+2	9.214150E-9	4.099950E+2	2.125344E+1
4.200050E+2	1.082850E-8	4.200050E+2	2.301596E+1
4.299990E+2	1.212545E-8	4.299990E+2	2.529972E+1
4.400140E+2	1.377890E-8	4.400140E+2	2.885054E+1
4.500110E+2	1.553430E-8	4.500110E+2	3.370599E+1
4.599900E+2	1.771890E-8	4.599900E+2	3.819265E+1
4.699890E+2	2.346145E-8	4.699890E+2	4.131946E+1
4.800060E+2	2.023455E-8	4.800060E+2	4.319904E+1
4.900030E+2	2.036190E-8	4.900030E+2	4.408294E+1
4.999820E+2	2.051105E-8	4.999820E+2	4.465792E+1
5.100140E+2	1.998720E-8	5.100140E+2	4.515553E+1
5.199880E+2	2.092940E-8	5.199880E+2	4.612020E+1
5.300150E+2	2.204990E-8	5.300150E+2	4.777762E+1
5.399840E+2	2.289030E-8	5.399840E+2	4.959165E+1
5.500040E+2	2.359240E-8	5.500040E+2	5.205004E+1
5.000050E+2	2.813990E-8	5.000050E+2	4.450034E+1
5.100050E+2	3.189075E-8	5.100050E+2	4.573555E+1
5.199990E+2	3.647460E-8	5.199990E+2	4.677187E+1
5.299890E+2	3.931220E-8	5.299890E+2	4.814465E+1
5.399740E+2	4.156050E-8	5.399740E+2	4.998878E+1
5.500300E+2	4.499840E-8	5.500300E+2	5.241795E+1
5.600050E+2	4.937125E-8	5.600050E+2	5.559314E+1
5.699740E+2	5.452625E-8	5.699740E+2	5.705808E+1
5.800150E+2	5.991065E-8	5.800150E+2	5.913546E+1
