Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	995.149372	-0.387792	0.335050	55.543265	0.007252	0.162240	15.835032
800.000000	995.149372	-19.328060	0.489922	53.754013	0.511490	0.004377	0.308430
790.000000	995.149372	-37.046088	0.509319	51.546328	0.977332	0.002459	-0.001000
780.000000	995.149372	-52.606696	0.519140	49.854688	1.368181	0.001989	0.079934
770.000000	995.149372	-67.158324	0.525686	48.686091	1.727203	0.001687	0.061885
760.000000	995.149372	-80.048187	0.530478	47.646555	2.033117	0.001574	0.023672
750.000000	995.149372	-93.298858	0.534335	46.564302	2.332680	0.001362	0.056918
740.000000	995.149372	-105.346319	0.537281	45.799058	2.604891	0.001313	0.053131
730.000000	995.149372	-117.653914	0.539723	45.127151	2.879564	0.001182	0.024409
720.000000	995.149372	-129.235451	0.542019	44.569329	3.137212	0.001131	0.009635
710.000000	995.149372	-140.244705	0.543779	44.143349	3.382875	0.001096	0.014827
700.000000	995.149372	-151.260581	0.545344	43.290944	3.588437	0.001067	0.008167
690.000000	995.149372	-161.431452	0.546578	42.971017	3.810023	0.001029	0.016710
680.000000	995.149372	-170.527050	0.548137	43.361214	4.072822	0.000955	0.149247
670.000000	995.149372	-179.363201	0.549041	43.018906	4.257055	0.000944	0.008211
660.000000	995.149372	-188.957010	0.549777	42.305131	4.416254	0.000921	0.005796
650.000000	995.149372	-195.415512	0.550607	42.824326	4.630232	0.000892	0.010574
640.000000	995.149372	-204.023840	0.551635	42.184321	4.770848	0.000871	0.008049
630.000000	995.149372	-213.625709	0.552556	41.973274	4.978683	0.000862	0.020802
620.000000	995.149372	-222.817161	0.553076	41.534465	5.143439	0.000847	-0.001000
610.000000	995.149372	-229.398911	0.553690	41.668776	5.318396	0.000822	0.012916
600.000000	995.149372	-234.964962	0.554120	42.116791	5.510284	0.000804	0.006538
590.000000	995.149372	-241.121237	0.554879	41.894060	5.632457	0.000792	-0.001000
580.000000	995.149372	-246.477331	0.555130	42.144516	5.794616	0.000760	0.023609
570.000000	995.149372	-253.181160	0.555400	41.616769	5.880539	0.000743	0.004864
560.000000	995.149372	-256.064893	0.555787	42.209941	6.036497	0.000730	-0.001000
550.000000	995.149372	-259.488691	0.556048	42.534773	6.167175	0.000728	0.013510
540.000000	995.149372	-264.220082	0.556349	42.605201	6.293427	0.000719	0.011340
530.000000	995.149372	-266.116271	0.556662	43.181233	6.427909	0.000700	0.043492
520.000000	995.149372	-270.960149	0.556759	42.751750	6.480944	0.000703	-0.001000
510.000000	995.149372	-276.146352	0.557081	43.218794	6.681007	0.000693	-0.001000
500.000000	995.149372	-278.085406	0.557578	43.395548	6.761465	0.000669	0.011326
490.000000	995.149372	-285.244820	0.557838	43.569081	6.966519	0.000660	0.017178
480.000000	995.149372	-289.306165	0.558084	43.336412	7.031077	0.000648	0.099959
470.000000	995.149372	-294.971431	0.558261	43.950302	7.272613	0.000650	0.011902
460.000000	995.149372	-299.227438	0.558544	44.343455	7.447320	0.000633	0.002998
450.000000	995.149372	-301.852579	0.558706	44.316792	7.510318	0.000625	0.009221
440.000000	995.149372	-307.936202	0.559029	44.802125	7.750068	0.000616	0.005244
430.000000	995.149372	-311.087527	0.559055	44.702059	7.812255	0.000609	0.007012
420.000000	995.149372	-311.795416	0.559430	45.251175	7.931533	0.000595	-0.001000
410.000000	995.149372	-316.127402	0.559628	45.368923	8.065512	0.000586	0.008776
400.000000	995.149372	-321.359993	0.559852	45.176172	8.167451	0.000583	-0.001000
