Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
760.000000	1053.797256	-44.822467	0.824786	31.279526	1.097337	0.007602	0.030423
740.000000	1053.797256	-45.151060	0.825198	31.475755	1.112872	0.007600	0.032145
720.000000	1053.797256	-45.304602	0.825802	31.589126	1.121498	0.007616	0.029240
700.000000	1053.797256	-45.334220	0.826360	31.774633	1.129585	0.007581	0.030445
680.000000	1053.797256	-45.086470	0.826537	31.817587	1.125171	0.007650	0.030389
660.000000	1053.797256	-44.682000	0.826627	31.895274	1.117922	0.007673	0.031876
640.000000	1053.797256	-44.128760	0.825965	31.734738	1.097643	0.007854	0.037324
620.000000	1053.797256	-42.954092	0.825004	31.723031	1.066789	0.007961	0.033375
600.000000	1053.797256	-40.354195	0.821619	31.697698	0.997309	0.008738	0.031658
580.000000	1053.797256	-37.459732	0.817514	31.402569	0.912574	0.009366	0.036437
560.000000	1053.797256	-34.353741	0.813524	31.305524	0.830248	0.010064	0.044290
540.000000	1053.797256	-29.866446	0.807632	31.571330	0.722658	0.011904	0.049649
520.000000	1053.797256	-24.936032	0.802039	32.300618	0.613023	0.013641	0.071357
500.000000	1053.797256	-20.973666	0.797873	33.553962	0.532837	0.016120	0.091625
480.000000	1053.797256	-16.415120	0.791918	35.844826	0.442174	0.018912	0.153397
460.000000	1053.797256	-10.919613	0.781053	39.716168	0.321438	0.025255	0.361888
440.000000	1053.797256	-6.659507	0.765274	44.310687	0.214294	0.035062	0.419225
420.000000	1053.797256	-3.389812	0.741311	48.678122	0.116079	0.054257	1.346871
400.000000	1053.797256	-1.346406	0.706512	52.054978	0.046989	0.100550	2.842005
380.000000	1053.797256	-0.476703	0.665160	52.841435	0.015900	0.232596	8.388923
360.000000	1053.797256	-0.176318	0.622023	51.892540	0.005401	0.493606	15.456576
