Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
360.000000	1053.797256	-0.109696	0.022669	24.470733	5.774590E-5	0.202252	0.208320
380.000000	1053.797256	-0.319669	0.057235	25.948789	0.000451	0.168039	0.186730
400.000000	1053.797256	-0.923297	0.138912	27.374818	0.003332	0.121200	0.175434
420.000000	1053.797256	-2.378094	0.275955	29.836887	0.018581	0.086921	0.163441
440.000000	1053.797256	-4.933452	0.425419	32.237591	0.064206	0.054385	0.148528
460.000000	1053.797256	-8.663335	0.562398	34.280737	0.158497	0.033791	0.133251
480.000000	1053.797256	-13.934758	0.661205	36.780654	0.321586	0.019094	0.099884
500.000000	1053.797256	-19.020258	0.709523	38.715988	0.495811	0.013899	0.090603
520.000000	1053.797256	-23.466011	0.736681	39.880163	0.654212	0.010636	0.092007
540.000000	1053.797256	-29.476519	0.762282	40.534388	0.864288	0.008878	0.073106
560.000000	1053.797256	-34.820476	0.780375	41.132988	1.060647	0.007357	0.061836
580.000000	1053.797256	-38.539014	0.789819	41.344247	1.194225	0.006106	0.058817
600.000000	1053.797256	-41.207717	0.796387	41.529021	1.293293	0.006015	0.051357
620.000000	1053.797256	-44.058915	0.802631	41.796195	1.402586	0.005057	0.099294
640.000000	1053.797256	-45.079479	0.804484	41.980748	1.444739	0.005021	0.054293
660.000000	1053.797256	-45.674935	0.804785	41.710415	1.454940	0.004956	0.068850
680.000000	1053.797256	-46.026931	0.804918	41.848991	1.471267	0.004822	0.062149
700.000000	1053.797256	-46.375235	0.804588	41.719494	1.477209	0.004827	0.070281
720.000000	1053.797256	-46.403827	0.803628	41.994579	1.486089	0.004806	0.075152
740.000000	1053.797256	-46.538945	0.803744	42.065342	1.493144	0.004897	0.053100
760.000000	1053.797256	-46.700998	0.803527	41.609750	1.481715	0.004776	0.047910
