Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1076.543839	-0.143665	0.044056	26.266439	0.000154	0.293958	0.315346
800.000000	1076.543839	-10.602955	0.506226	50.344119	0.251009	0.008418	-0.001000
790.000000	1076.543839	-20.562950	0.548814	55.872255	0.585700	0.003412	0.148476
780.000000	1076.543839	-29.640734	0.568562	58.071359	0.909069	0.002335	0.065641
770.000000	1076.543839	-38.379084	0.581865	58.449390	1.212453	0.001659	2.162402
760.000000	1076.543839	-46.195787	0.590926	58.344172	1.479453	0.001489	0.129295
750.000000	1076.543839	-53.967934	0.598845	59.174541	1.776451	0.001251	0.220852
740.000000	1076.543839	-61.275438	0.604613	60.694471	2.088725	0.001103	0.032617
730.000000	1076.543839	-68.675952	0.609592	59.972867	2.332208	0.000954	-0.001000
720.000000	1076.543839	-76.238725	0.614114	59.760386	2.599002	0.000924	-0.001000
710.000000	1076.543839	-83.540812	0.617559	59.668616	2.859510	0.000833	0.014328
700.000000	1076.543839	-89.790648	0.621115	60.293965	3.123526	0.000808	0.034569
690.000000	1076.543839	-96.657464	0.624341	60.165287	3.372653	0.000718	0.022004
680.000000	1076.543839	-103.549360	0.626890	60.075029	3.622436	0.000703	0.037906
670.000000	1076.543839	-109.267065	0.628938	60.525858	3.863726	0.000632	-0.001000
660.000000	1076.543839	-114.839700	0.630882	61.173091	4.116889	0.000631	0.010996
650.000000	1076.543839	-119.619988	0.632861	60.562154	4.258749	0.000606	-0.001000
640.000000	1076.543839	-125.480648	0.634601	60.424158	4.469472	0.000594	0.139911
630.000000	1076.543839	-131.491699	0.636769	60.779131	4.727193	0.000539	0.250555
620.000000	1076.543839	-136.099474	0.637990	61.176352	4.934261	0.000534	0.024289
610.000000	1076.543839	-140.847507	0.639363	60.519970	5.062488	0.000548	0.014470
600.000000	1076.543839	-145.747054	0.640264	61.373845	5.319982	0.000533	0.089660
590.000000	1076.543839	-150.040937	0.641520	60.724241	5.429385	0.000524	-0.001000
580.000000	1076.543839	-153.009207	0.642294	60.825390	5.552703	0.000483	0.018022
570.000000	1076.543839	-155.610260	0.643037	60.743409	5.646006	0.000477	-0.001000
560.000000	1076.543839	-158.792674	0.643717	60.500689	5.744525	0.000483	0.280825
550.000000	1076.543839	-162.454071	0.644367	60.221807	5.855794	0.000475	-0.001000
540.000000	1076.543839	-165.057188	0.644965	60.200951	5.953085	0.000479	0.030255
530.000000	1076.543839	-167.296089	0.645636	60.744845	6.094685	0.000463	0.258402
520.000000	1076.543839	-169.431850	0.646163	60.737104	6.176746	0.000459	0.013763
510.000000	1076.543839	-172.573829	0.646703	60.263545	6.247450	0.000467	0.023486
500.000000	1076.543839	-175.484920	0.647282	60.638222	6.398058	0.000476	0.040253
490.000000	1076.543839	-178.730909	0.648060	60.029622	6.458758	0.000458	0.071445
480.000000	1076.543839	-182.076887	0.648664	60.669280	6.655978	0.000423	0.015108
470.000000	1076.543839	-184.970844	0.649179	60.594264	6.758767	0.000425	0.015570
460.000000	1076.543839	-188.892493	0.650058	60.102178	6.855284	0.000417	10.003925
450.000000	1076.543839	-190.767277	0.650575	60.403355	6.963545	0.000415	-0.001000
440.000000	1076.543839	-194.057067	0.650967	60.423752	7.090297	0.000410	0.019126
430.000000	1076.543839	-196.467224	0.651098	60.109305	7.142436	0.000413	-0.001000
420.000000	1076.543839	-197.640901	0.651178	60.024355	7.175834	0.000413	0.013158
410.000000	1076.543839	-199.230875	0.651271	60.138242	7.248317	0.000416	0.022874
400.000000	1076.543839	-200.817196	0.651073	60.157303	7.306123	0.000405	0.054506
