Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1124.613056	-1.223692	0.613117	63.575694	0.042413	0.044369	6.481160
410.000000	1124.613056	-1.891576	0.632145	63.120998	0.067114	0.028326	5.025267
420.000000	1124.613056	-3.150695	0.653725	63.589597	0.116462	0.017599	1.250110
430.000000	1124.613056	-5.256957	0.674285	63.087684	0.198847	0.010945	-0.001000
440.000000	1124.613056	-7.963490	0.690418	63.494006	0.310417	0.008441	2.182021
450.000000	1124.613056	-11.856527	0.705615	62.880991	0.467780	0.005390	0.730338
460.000000	1124.613056	-16.705341	0.717966	62.745482	0.669174	0.004140	0.147558
470.000000	1124.613056	-22.680962	0.728624	61.971469	0.910654	0.003251	0.204897
480.000000	1124.613056	-28.772182	0.736797	61.074915	1.151278	0.002590	0.089526
490.000000	1124.613056	-36.245583	0.744555	60.802258	1.459045	0.002098	0.103525
500.000000	1124.613056	-44.250680	0.751230	60.942190	1.801391	0.001977	0.122690
510.000000	1124.613056	-52.475888	0.756419	59.685164	2.106615	0.001625	-0.001000
520.000000	1124.613056	-61.034348	0.761041	59.242429	2.446876	0.001544	0.197303
530.000000	1124.613056	-68.926628	0.764742	59.017393	2.766170	0.001319	1.513480
540.000000	1124.613056	-74.355298	0.767019	58.809748	2.982390	0.001279	0.084384
550.000000	1124.613056	-77.918194	0.768184	58.423233	3.109473	0.001262	0.040997
560.000000	1124.613056	-82.875108	0.770154	58.421966	3.315695	0.001235	0.118481
570.000000	1124.613056	-89.906260	0.772511	57.847932	3.572559	0.001080	0.054647
580.000000	1124.613056	-94.083696	0.773799	57.875275	3.746556	0.001060	0.561424
590.000000	1124.613056	-98.749670	0.775188	57.674120	3.925730	0.001042	0.022581
600.000000	1124.613056	-106.409010	0.777180	57.216785	4.207466	0.001020	0.033294
610.000000	1124.613056	-113.988958	0.779110	57.094240	4.508695	0.000994	0.034537
620.000000	1124.613056	-118.480321	0.780047	56.626112	4.653508	0.000979	0.057233
630.000000	1124.613056	-122.112681	0.781008	57.135165	4.845252	0.000957	0.027053
640.000000	1124.613056	-126.474637	0.781988	56.578736	4.975696	0.000946	0.073149
650.000000	1124.613056	-131.816008	0.782911	55.922788	5.131757	0.000863	0.033925
660.000000	1124.613056	-135.738127	0.783744	56.180409	5.314447	0.000845	0.030300
670.000000	1124.613056	-141.370539	0.784780	56.167328	5.540994	0.000838	0.076198
680.000000	1124.613056	-147.882718	0.786030	55.793922	5.766869	0.000818	0.211601
690.000000	1124.613056	-155.346843	0.787135	55.480588	6.032392	0.000805	0.039587
700.000000	1124.613056	-162.628809	0.788487	55.481331	6.326097	0.000785	0.032025
710.000000	1124.613056	-171.883194	0.789902	55.525550	6.703418	0.000770	0.045618
720.000000	1124.613056	-181.723403	0.791462	55.021465	7.036714	0.000757	0.024286
730.000000	1124.613056	-191.310845	0.792583	54.548434	7.354677	0.000737	0.114533
740.000000	1124.613056	-200.048723	0.793583	54.461640	7.688039	0.000680	-0.001000
750.000000	1124.613056	-207.362646	0.794607	54.506732	7.986007	0.000662	0.034024
760.000000	1124.613056	-215.101014	0.795345	54.182920	8.242465	0.000658	0.016332
770.000000	1124.613056	-221.635641	0.795936	53.767508	8.434014	0.000652	-0.001000
780.000000	1124.613056	-226.807322	0.796603	53.938643	8.665548	0.000638	0.049206
790.000000	1124.613056	-232.508067	0.797084	53.667895	8.844104	0.000634	0.015042
800.000000	1124.613056	-236.955088	0.797347	53.773918	9.034035	0.000629	0.025223
810.000000	1124.613056	-241.716119	0.797661	53.432670	9.160684	0.000625	-0.001000
