Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1070.980570	-0.073803	0.115228	27.518451	0.000219	1.320857	1.764656
800.000000	1070.980570	-0.358671	0.345334	33.148471	0.003834	0.477529	1.077622
790.000000	1070.980570	-0.743007	0.491958	37.695987	0.012866	0.333192	1.188940
780.000000	1070.980570	-1.164540	0.630374	41.422194	0.028393	0.231067	0.651452
770.000000	1070.980570	-1.716805	0.730436	43.916584	0.051422	0.173234	0.801873
760.000000	1070.980570	-2.251909	0.818752	40.753755	0.070160	0.169428	2.912972
750.000000	1070.980570	-3.043761	0.878998	41.384130	0.103383	0.133838	-0.001000
740.000000	1070.980570	-3.839824	0.941104	40.512390	0.136696	0.089783	4.067431
730.000000	1070.980570	-4.768600	0.986333	42.508645	0.186685	0.051590	0.184785
720.000000	1070.980570	-5.785910	1.021566	45.881212	0.253216	0.031409	0.361885
710.000000	1070.980570	-7.191665	1.043112	46.587666	0.326325	0.025245	1.418460
700.000000	1070.980570	-8.510883	1.059140	46.990010	0.395505	0.018035	-0.001000
690.000000	1070.980570	-10.093649	1.063549	49.475614	0.495924	0.016557	0.149520
680.000000	1070.980570	-11.972147	1.082534	50.397147	0.609871	0.010800	0.154564
670.000000	1070.980570	-13.849137	1.091705	51.107305	0.721489	0.010076	1.003815
660.000000	1070.980570	-15.748431	1.099685	52.926351	0.855846	0.007996	-0.001000
650.000000	1070.980570	-18.173215	1.108400	53.556206	1.007294	0.007471	1.608533
640.000000	1070.980570	-20.760929	1.115047	54.495994	1.177939	0.005883	0.104095
630.000000	1070.980570	-24.425071	1.123182	55.401176	1.419133	0.005515	0.114593
620.000000	1070.980570	-28.080059	1.129058	55.062852	1.630015	0.004469	-0.001000
610.000000	1070.980570	-31.426316	1.134202	57.059819	1.899033	0.004272	0.094685
600.000000	1070.980570	-35.868618	1.139869	55.767295	2.128960	0.003524	0.173213
590.000000	1070.980570	-39.940659	1.144359	56.504612	2.411458	0.003353	0.254123
580.000000	1070.980570	-43.957224	1.148013	56.735395	2.673312	0.003248	0.232363
570.000000	1070.980570	-47.436471	1.151434	56.872359	2.900487	0.003123	0.155213
560.000000	1070.980570	-51.120971	1.154226	56.828615	3.130944	0.003008	-0.001000
550.000000	1070.980570	-54.391771	1.156886	56.955153	3.346380	0.002624	0.064827
540.000000	1070.980570	-58.336322	1.159251	56.858685	3.590308	0.002561	0.185397
530.000000	1070.980570	-61.580903	1.161536	56.942629	3.803074	0.002484	0.210018
520.000000	1070.980570	-65.139995	1.163397	56.706141	4.012583	0.002440	0.114622
510.000000	1070.980570	-68.851660	1.165755	56.779200	4.255294	0.002371	0.142120
500.000000	1070.980570	-72.522351	1.167284	56.477070	4.464151	0.002315	0.096752
490.000000	1070.980570	-75.669837	1.169096	56.857118	4.696520	0.002257	0.529151
480.000000	1070.980570	-79.016685	1.170256	56.493206	4.877693	0.002226	0.099092
470.000000	1070.980570	-82.409089	1.171827	56.493846	5.093993	0.002000	0.087654
460.000000	1070.980570	-85.995136	1.173087	56.906611	5.360253	0.001970	0.065050
450.000000	1070.980570	-89.538521	1.174242	56.787994	5.574967	0.001945	0.038572
440.000000	1070.980570	-92.517199	1.175134	56.617564	5.747504	0.001897	-0.001000
430.000000	1070.980570	-95.706493	1.176075	56.020664	5.887665	0.001873	0.140281
420.000000	1070.980570	-97.353542	1.176552	56.309129	6.022270	0.001853	0.067954
410.000000	1070.980570	-99.525450	1.177294	56.151009	6.143207	0.001830	0.049641
400.000000	1070.980570	-101.523947	1.177586	56.021094	6.253614	0.001807	0.043856
