Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
395.000000	995.149372	-0.563175	0.366121	57.563601	0.011927	0.095170	3.228626
405.000000	995.149372	-1.012307	0.391770	60.032120	0.023924	0.051139	1.701371
415.000000	995.149372	-1.501008	0.407642	60.828240	0.037401	0.034242	2.576808
425.000000	995.149372	-2.453754	0.426763	62.321266	0.065579	0.018047	2.471945
435.000000	995.149372	-4.013396	0.444334	62.937780	0.112783	0.011693	0.621265
445.000000	995.149372	-6.424123	0.459939	63.079726	0.187290	0.007669	-0.001000
455.000000	995.149372	-9.192993	0.472001	62.881961	0.274181	0.006039	0.508084
465.000000	995.149372	-12.341230	0.481434	63.004734	0.376166	0.004698	0.534972
475.000000	995.149372	-15.912319	0.489087	61.861882	0.483788	0.003799	0.597293
485.000000	995.149372	-19.509698	0.495224	61.800142	0.600003	0.003124	0.341018
495.000000	995.149372	-23.730891	0.500972	61.054031	0.729380	0.002595	0.237353
505.000000	995.149372	-28.028847	0.505886	60.158878	0.857174	0.002444	0.148292
515.000000	995.149372	-32.410841	0.510033	60.124088	0.998731	0.002099	0.202556
525.000000	995.149372	-37.460911	0.514375	59.895982	1.159759	0.001979	0.163347
535.000000	995.149372	-41.525020	0.517224	59.391531	1.281814	0.001704	0.057551
545.000000	995.149372	-43.887334	0.518982	59.338265	1.358120	0.001647	2.085557
555.000000	995.149372	-46.298220	0.520554	59.479575	1.440488	0.001638	0.117523
565.000000	995.149372	-50.738123	0.523146	59.472278	1.586292	0.001433	0.073708
575.000000	995.149372	-54.756044	0.525252	59.068244	1.707124	0.001388	0.031088
585.000000	995.149372	-57.970657	0.526830	58.855999	1.806263	0.001353	0.090859
595.000000	995.149372	-62.399971	0.528894	59.066848	1.958882	0.001312	0.101917
605.000000	995.149372	-69.338054	0.531779	58.570904	2.170182	0.001152	0.494107
615.000000	995.149372	-74.156728	0.533474	58.537983	2.327090	0.001115	0.029646
625.000000	995.149372	-77.347319	0.534433	58.228132	2.418707	0.001104	0.045622
635.000000	995.149372	-81.347416	0.535774	58.314471	2.553956	0.001080	0.025282
645.000000	995.149372	-85.515450	0.536897	58.001310	2.675992	0.001058	0.030359
655.000000	995.149372	-89.409297	0.538171	57.949660	2.801983	0.001035	0.045490
665.000000	995.149372	-94.227529	0.539429	57.450928	2.934411	0.000944	0.022570
675.000000	995.149372	-100.610659	0.540715	57.641766	3.151093	0.000935	0.025356
685.000000	995.149372	-107.468526	0.542442	57.497731	3.368191	0.000887	0.068972
695.000000	995.149372	-115.731797	0.543990	56.661873	3.584644	0.000872	0.021406
705.000000	995.149372	-125.835978	0.545930	56.033438	3.868126	0.000848	0.082727
715.000000	995.149372	-138.828816	0.547962	55.527503	4.244729	0.000766	0.020237
725.000000	995.149372	-151.960049	0.549855	55.199947	4.634768	0.000736	0.073431
735.000000	995.149372	-166.705365	0.551646	54.307992	5.018636	0.000709	0.120086
745.000000	995.149372	-181.365417	0.553191	53.814401	5.425496	0.000694	-0.001000
755.000000	995.149372	-195.449486	0.554794	53.034091	5.778737	0.000662	0.044737
765.000000	995.149372	-212.664401	0.556270	52.610349	6.254079	0.000616	0.028689
775.000000	995.149372	-229.298512	0.557497	51.554369	6.622481	0.000599	0.018207
785.000000	995.149372	-242.881677	0.558664	51.311102	6.996303	0.000589	0.005344
795.000000	995.149372	-262.824432	0.559852	50.242117	7.428799	0.000572	0.005326
805.000000	995.149372	-281.228963	0.561210	49.640336	7.872850	0.000552	0.003367
