Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
360.000000	1053.797256	-0.042066	0.448151	38.154047	0.000683	4.627773	25.879218
380.000000	1053.797256	-0.118470	0.567151	42.656991	0.002720	1.426805	16.260397
400.000000	1053.797256	-0.329721	0.647908	45.566667	0.009237	0.448590	9.879019
420.000000	1053.797256	-0.835151	0.704820	45.285883	0.025296	0.211683	5.548888
440.000000	1053.797256	-1.689983	0.744196	44.653805	0.053293	0.124742	1.956484
460.000000	1053.797256	-2.939059	0.771663	42.859626	0.092242	0.077610	1.153878
480.000000	1053.797256	-4.663442	0.791449	41.505070	0.145370	0.056427	1.064699
500.000000	1053.797256	-6.307092	0.803544	40.486213	0.194710	0.044436	0.532071
520.000000	1053.797256	-7.782964	0.811228	39.569496	0.237078	0.039577	0.346632
540.000000	1053.797256	-9.734702	0.820323	38.532500	0.291997	0.032282	0.374718
560.000000	1053.797256	-11.442572	0.827645	37.827827	0.339955	0.029440	0.254230
580.000000	1053.797256	-12.579052	0.832617	37.697727	0.374672	0.027790	0.303992
600.000000	1053.797256	-13.532722	0.836451	37.605569	0.403944	0.024820	0.201354
620.000000	1053.797256	-14.373685	0.839950	37.580026	0.430548	0.023820	0.226112
640.000000	1053.797256	-14.689362	0.841269	37.618254	0.441143	0.023561	0.214407
660.000000	1053.797256	-14.860103	0.842431	37.801334	0.449062	0.023134	0.259023
680.000000	1053.797256	-15.023481	0.842875	37.823626	0.454506	0.023182	0.248581
700.000000	1053.797256	-15.110592	0.843275	37.999701	0.459488	0.022854	0.152854
720.000000	1053.797256	-15.218837	0.843541	38.054067	0.463587	0.022955	0.201117
740.000000	1053.797256	-15.217165	0.843719	38.050495	0.463591	0.022777	0.213050
760.000000	1053.797256	-15.245014	0.843694	38.418812	0.468921	0.022784	0.148827
