Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
760.000000	1053.797256	-41.324246	0.861641	60.143620	2.032187	0.002286	0.487268
740.000000	1053.797256	-41.210351	0.861694	60.415912	2.035887	0.002264	0.084114
720.000000	1053.797256	-41.024548	0.861660	60.560286	2.031471	0.002279	0.095782
700.000000	1053.797256	-40.901874	0.861284	60.441541	2.020543	0.002273	0.081655
680.000000	1053.797256	-40.642284	0.861233	60.209854	1.999904	0.002266	0.124744
660.000000	1053.797256	-40.302446	0.860584	59.938895	1.972769	0.002291	0.160577
640.000000	1053.797256	-39.360224	0.860084	60.616722	1.947304	0.002277	0.086708
620.000000	1053.797256	-38.288293	0.858798	60.457532	1.886471	0.002585	0.075534
600.000000	1053.797256	-35.493616	0.855833	60.485851	1.743556	0.002679	0.157663
580.000000	1053.797256	-32.544171	0.852615	60.556182	1.594511	0.002734	0.333230
560.000000	1053.797256	-29.296216	0.848447	60.106918	1.417762	0.002864	1.248880
540.000000	1053.797256	-24.441860	0.841374	60.177669	1.174361	0.003472	0.126536
520.000000	1053.797256	-19.173309	0.831700	60.279973	0.912178	0.004365	0.148295
500.000000	1053.797256	-15.394637	0.823117	59.609841	0.716790	0.004697	0.392145
480.000000	1053.797256	-11.169848	0.809182	59.052315	0.506493	0.007434	0.248617
460.000000	1053.797256	-6.787337	0.786531	56.863137	0.288064	0.010124	0.289945
440.000000	1053.797256	-3.718264	0.753822	51.995375	0.138298	0.021713	0.863360
420.000000	1053.797256	-1.672646	0.696533	41.983344	0.046416	0.071266	1.448583
400.000000	1053.797256	-0.594419	0.518453	30.691453	0.008976	1.307187	1.453814
380.000000	1053.797256	-0.195221	0.258285	30.579840	0.001463	0.827643	1.712273
360.000000	1053.797256	-0.065870	0.094161	25.283369	0.000149	1.348053	1.537565
