Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1094.384842	-0.242681	0.449911	54.451805	0.005433	0.309883	7.434098
800.000000	1094.384842	-16.353588	0.674984	62.284621	0.628228	0.005489	0.508422
790.000000	1094.384842	-31.357042	0.701990	60.370875	1.214293	0.003185	-0.001000
780.000000	1094.384842	-44.265189	0.715796	60.926638	1.763959	0.002127	-0.001000
770.000000	1094.384842	-57.100855	0.725165	59.109147	2.236474	0.001906	0.028970
760.000000	1094.384842	-68.760520	0.732001	59.553512	2.738976	0.001539	0.316775
750.000000	1094.384842	-80.404913	0.738083	58.982432	3.198458	0.001292	-0.001000
740.000000	1094.384842	-91.435710	0.742321	58.479936	3.626972	0.001209	0.036122
730.000000	1094.384842	-102.243905	0.746175	58.299560	4.064185	0.001133	0.047352
720.000000	1094.384842	-113.296093	0.749803	58.110908	4.510758	0.000982	0.291318
710.000000	1094.384842	-123.441317	0.752782	57.610886	4.891751	0.000941	0.076022
700.000000	1094.384842	-132.985302	0.755209	57.462943	5.273373	0.000908	0.023612
690.000000	1094.384842	-143.504657	0.757441	57.206739	5.681880	0.000883	0.018371
680.000000	1094.384842	-152.634734	0.759728	56.942836	6.033655	0.000853	0.140683
670.000000	1094.384842	-160.986031	0.761317	57.242094	6.410608	0.000760	0.013171
660.000000	1094.384842	-169.691558	0.762662	56.145330	6.639510	0.000746	0.019382
650.000000	1094.384842	-176.845506	0.764080	56.520780	6.978642	0.000728	-0.001000
640.000000	1094.384842	-185.536990	0.765542	56.549658	7.339378	0.000714	0.016034
630.000000	1094.384842	-195.258830	0.767190	56.554429	7.741237	0.000692	0.030916
620.000000	1094.384842	-202.788424	0.768364	56.268953	8.011411	0.000682	0.043972
610.000000	1094.384842	-210.590432	0.769651	55.895690	8.278287	0.000671	0.036156
600.000000	1094.384842	-217.638412	0.770783	55.660168	8.531827	0.000653	0.040042
590.000000	1094.384842	-225.377794	0.771720	55.802010	8.868511	0.000594	0.006151
580.000000	1094.384842	-231.349992	0.772691	55.702354	9.098689	0.000587	0.018102
570.000000	1094.384842	-237.168144	0.773161	55.598577	9.315790	0.000585	0.062566
560.000000	1094.384842	-243.200829	0.774084	55.161252	9.488930	0.000577	0.010976
550.000000	1094.384842	-248.760364	0.774666	55.565605	9.784337	0.000574	-0.001000
540.000000	1094.384842	-253.759415	0.775418	55.528447	9.983976	0.000563	0.023835
530.000000	1094.384842	-259.741679	0.775973	55.137713	10.154690	0.000557	0.099366
520.000000	1094.384842	-264.577392	0.776488	55.534472	10.425098	0.000554	0.034230
510.000000	1094.384842	-269.849929	0.777183	54.745892	10.491246	0.000547	-0.001000
500.000000	1094.384842	-276.644369	0.777890	54.894407	10.794390	0.000536	0.022019
490.000000	1094.384842	-281.797472	0.778287	54.670550	10.956214	0.000535	0.010547
480.000000	1094.384842	-286.745278	0.778675	55.164816	11.254972	0.000533	-0.001000
470.000000	1094.384842	-292.408642	0.779135	54.874851	11.423689	0.000524	0.038223
460.000000	1094.384842	-301.296407	0.779463	54.397359	11.673399	0.000521	0.010505
450.000000	1094.384842	-305.139853	0.779573	54.381924	11.820625	0.000517	0.017640
440.000000	1094.384842	-310.444474	0.779512	54.314095	12.010171	0.000512	-0.001000
430.000000	1094.384842	-314.498661	0.779276	54.356996	12.172933	0.000506	0.037017
420.000000	1094.384842	-319.327718	0.778400	53.752686	12.208700	0.000506	0.012761
410.000000	1094.384842	-322.812452	0.777171	53.664135	12.302147	0.000504	0.016137
400.000000	1094.384842	-326.712256	0.775286	52.907562	12.245451	0.000502	0.009930
