Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1124.613056	-1.227693	0.166016	27.868156	0.005051	0.115779	0.165422
410.000000	1124.613056	-1.885884	0.212142	29.690622	0.010562	0.084071	0.156433
420.000000	1124.613056	-3.182396	0.591452	41.904235	0.070134	0.042025	0.618066
430.000000	1124.613056	-5.326493	0.635810	47.162333	0.142024	0.020185	0.442110
440.000000	1124.613056	-8.093202	0.663095	51.018812	0.243458	0.011158	2.402049
450.000000	1124.613056	-12.298066	0.684891	53.675441	0.402005	0.007516	0.290840
460.000000	1124.613056	-17.330663	0.621958	38.778505	0.371676	0.010977	0.083592
470.000000	1124.613056	-23.800610	0.657202	41.474715	0.576856	0.007444	0.074927
480.000000	1124.613056	-30.274612	0.724897	56.271340	1.098093	0.003229	24.970930
490.000000	1124.613056	-38.304437	0.734197	56.291233	1.407665	0.002643	0.145635
500.000000	1124.613056	-46.842618	0.741826	56.082695	1.732881	0.002424	0.119507
510.000000	1124.613056	-55.389490	0.747700	55.714232	2.051720	0.002064	0.078110
520.000000	1124.613056	-64.503072	0.753029	55.573644	2.400257	0.001762	0.072979
530.000000	1124.613056	-72.747888	0.735496	50.267331	2.391573	0.001933	0.082510
540.000000	1124.613056	-78.453447	0.739012	50.214650	2.588755	0.001877	0.113390
550.000000	1124.613056	-82.453801	0.741584	49.983837	2.717674	0.001828	0.094975
560.000000	1124.613056	-87.510533	0.744290	50.428206	2.920606	0.001625	0.039871
570.000000	1124.613056	-95.562551	0.747848	50.155995	3.187285	0.001561	0.075949
580.000000	1124.613056	-101.011461	0.749062	49.727961	3.345693	0.001542	0.037154
590.000000	1124.613056	-105.720341	0.751531	50.113703	3.540453	0.001528	0.061873
600.000000	1124.613056	-114.563573	0.756153	50.395704	3.881919	0.001343	0.024792
610.000000	1124.613056	-123.255628	0.759391	50.302750	4.186595	0.001303	0.024644
620.000000	1124.613056	-128.729083	0.760636	50.253940	4.375427	0.001288	0.024011
630.000000	1124.613056	-132.731204	0.762092	50.144695	4.510269	0.001254	0.056359
640.000000	1124.613056	-137.672812	0.763016	50.019397	4.672155	0.001144	0.028307
650.000000	1124.613056	-142.566007	0.764528	49.979969	4.843980	0.001133	0.225084
660.000000	1124.613056	-147.358972	0.766559	50.080022	5.030183	0.001128	0.018053
670.000000	1124.613056	-154.091610	0.768644	50.027533	5.268780	0.001117	0.060746
680.000000	1124.613056	-161.470703	0.771699	49.961819	5.535756	0.001077	0.016210
690.000000	1124.613056	-169.349884	0.773034	52.608657	6.124031	0.000994	0.023043
700.000000	1124.613056	-178.399138	0.784920	51.624243	6.427891	0.000934	0.092022
710.000000	1124.613056	-189.109983	0.786546	51.082471	6.756278	0.000908	0.028064
720.000000	1124.613056	-200.273686	0.785477	50.989475	7.132382	0.000713	0.022293
730.000000	1124.613056	-209.805057	0.780387	51.084566	7.437256	0.000911	0.049333
740.000000	1124.613056	-220.106513	0.782804	48.715147	7.463576	0.000903	0.160935
750.000000	1124.613056	-227.461535	0.783262	48.982310	7.759808	0.000830	0.015620
760.000000	1124.613056	-236.512635	0.783824	48.797954	8.043993	0.000806	0.027481
770.000000	1124.613056	-244.499746	0.784851	48.406722	8.259780	0.000803	0.030108
780.000000	1124.613056	-250.554536	0.785797	48.585195	8.505768	0.000797	0.011019
790.000000	1124.613056	-256.336046	0.794502	49.570445	8.976863	0.000754	0.014730
800.000000	1124.613056	-262.207360	0.794943	49.467699	9.168524	0.000747	0.032600
810.000000	1124.613056	-267.149110	0.795330	49.358777	9.325292	0.000737	0.058379
