Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1068.678458	-0.085551	0.639039	33.314286	0.001704	4.417590	13.747535
800.000000	1068.678458	-0.410184	0.938477	41.592049	0.014982	0.484822	1.973083
790.000000	1068.678458	-0.780307	0.983216	52.955411	0.038017	0.148185	1.480845
780.000000	1068.678458	-1.251775	1.006969	50.972727	0.060122	0.066219	0.718089
770.000000	1068.678458	-1.708192	1.021671	57.028513	0.093131	0.045666	-0.001000
760.000000	1068.678458	-2.256313	1.032964	60.292760	0.131493	0.042027	0.701967
750.000000	1068.678458	-2.929873	1.044160	57.898043	0.165742	0.029589	-0.001000
740.000000	1068.678458	-3.636567	1.052789	58.942886	0.211163	0.022030	-0.001000
730.000000	1068.678458	-4.484808	1.060092	58.779297	0.261496	0.020966	0.277035
720.000000	1068.678458	-5.484533	1.067579	59.300344	0.324900	0.015876	-0.001000
710.000000	1068.678458	-6.555127	1.074412	60.592797	0.399324	0.015204	0.305992
700.000000	1068.678458	-7.803001	1.080614	59.947930	0.472998	0.011445	0.266257
690.000000	1068.678458	-9.227448	1.086586	59.145388	0.554906	0.010776	-0.001000
680.000000	1068.678458	-10.807889	1.092713	59.218861	0.654425	0.010323	0.361304
670.000000	1068.678458	-12.386125	1.097064	59.627911	0.758176	0.008246	-0.001000
660.000000	1068.678458	-13.997322	1.101481	59.814275	0.862938	0.007824	-0.001000
650.000000	1068.678458	-15.997498	1.105968	59.265194	0.981177	0.007534	0.867176
640.000000	1068.678458	-18.135697	1.110875	59.189609	1.115830	0.006151	0.345259
630.000000	1068.678458	-21.032543	1.115584	59.159879	1.298896	0.005837	0.440127
620.000000	1068.678458	-23.871301	1.119821	58.747467	1.469490	0.005521	-0.001000
610.000000	1068.678458	-26.871452	1.123807	58.631755	1.656794	0.005250	-0.001000
600.000000	1068.678458	-30.041112	1.127770	58.453193	1.853095	0.004457	0.250488
590.000000	1068.678458	-32.963491	1.130828	58.936134	2.055721	0.004272	0.452553
580.000000	1068.678458	-35.976558	1.133771	58.239105	2.222862	0.004067	0.202995
570.000000	1068.678458	-39.060660	1.136311	58.032801	2.410256	0.003970	-0.001000
560.000000	1068.678458	-41.760786	1.138703	58.236131	2.591342	0.003854	0.143979
550.000000	1068.678458	-44.162422	1.140651	57.871814	2.727883	0.003421	0.421375
540.000000	1068.678458	-46.997589	1.142441	57.447691	2.886256	0.003330	0.084448
530.000000	1068.678458	-49.505021	1.144217	57.349021	3.039740	0.003243	0.135068
520.000000	1068.678458	-52.427408	1.145792	57.039970	3.206244	0.003157	0.111220
510.000000	1068.678458	-55.219677	1.147459	57.263700	3.395184	0.003084	0.217523
500.000000	1068.678458	-58.236726	1.149021	57.160629	3.579107	0.003007	0.094315
490.000000	1068.678458	-61.195844	1.150524	56.886018	3.747797	0.002929	0.157033
480.000000	1068.678458	-63.773011	1.151695	56.719615	3.898169	0.002867	0.509949
470.000000	1068.678458	-66.689682	1.153106	56.861694	4.091669	0.002806	0.191582
460.000000	1068.678458	-69.653023	1.154330	56.472642	4.248748	0.002747	0.136503
450.000000	1068.678458	-72.259629	1.155433	56.244244	4.394116	0.002534	0.311343
440.000000	1068.678458	-74.790137	1.156338	55.605124	4.499837	0.002493	0.757650
430.000000	1068.678458	-76.984219	1.157194	55.733534	4.645983	0.002458	0.269889
420.000000	1068.678458	-78.439410	1.157732	55.738418	4.736417	0.002431	0.115876
410.000000	1068.678458	-79.924187	1.158299	55.299018	4.790371	0.002411	-0.001000
400.000000	1068.678458	-81.002678	1.158836	55.447513	4.870306	0.002382	0.075383
