Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1042.670581	-0.372600	0.369713	52.939181	0.006994	0.132277	4.520756
800.000000	1042.670581	-18.415190	0.505125	66.414447	0.592503	0.002541	0.111683
790.000000	1042.670581	-34.181320	0.523696	67.162062	1.153042	0.001291	-0.001000
780.000000	1042.670581	-49.317039	0.533259	65.023797	1.640063	0.001021	-0.001000
770.000000	1042.670581	-62.022041	0.539826	65.509785	2.103580	0.000840	0.046709
760.000000	1042.670581	-74.200925	0.544486	65.136522	2.523906	0.000795	-0.001000
750.000000	1042.670581	-86.592341	0.548592	64.606350	2.943450	0.000682	-0.001000
740.000000	1042.670581	-97.254787	0.551510	63.975190	3.291005	0.000663	0.046424
730.000000	1042.670581	-107.517252	0.554330	63.183043	3.611599	0.000658	0.014510
720.000000	1042.670581	-118.442419	0.556755	63.567063	4.020280	0.000562	-0.001000
710.000000	1042.670581	-128.258107	0.558698	62.534012	4.297649	0.000557	-0.001000
700.000000	1042.670581	-137.925949	0.560497	62.901969	4.663765	0.000532	0.113221
690.000000	1042.670581	-148.706562	0.562123	61.335538	4.917296	0.000531	0.015480
680.000000	1042.670581	-155.300495	0.563566	61.796102	5.187187	0.000487	-0.001000
670.000000	1042.670581	-163.282121	0.564817	62.226387	5.503938	0.000466	-0.001000
660.000000	1042.670581	-170.297835	0.565452	61.767823	5.704536	0.000477	-0.001000
650.000000	1042.670581	-179.241447	0.566737	61.202789	5.962717	0.000458	-0.001000
640.000000	1042.670581	-186.192653	0.567408	61.994071	6.281466	0.000452	0.009022
630.000000	1042.670581	-194.630088	0.568597	61.131817	6.488362	0.000444	0.033859
620.000000	1042.670581	-203.832132	0.569273	60.288132	6.709315	0.000443	0.009422
610.000000	1042.670581	-207.985046	0.569889	60.734361	6.904138	0.000435	0.084573
600.000000	1042.670581	-213.347520	0.570639	61.013252	7.124041	0.000431	0.049989
590.000000	1042.670581	-218.747899	0.571002	60.630361	7.263138	0.000430	0.017167
580.000000	1042.670581	-224.981644	0.571306	60.258634	7.428270	0.000417	0.017569
570.000000	1042.670581	-228.122062	0.571981	60.330956	7.549909	0.000389	-0.001000
560.000000	1042.670581	-232.467879	0.572294	59.856517	7.637419	0.000393	-0.001000
550.000000	1042.670581	-238.013295	0.572643	59.239969	7.743771	0.000391	0.005891
540.000000	1042.670581	-240.965324	0.572785	60.852893	8.055275	0.000393	0.261745
530.000000	1042.670581	-242.085719	0.573371	60.826773	8.097526	0.000384	-0.001000
520.000000	1042.670581	-246.918054	0.573327	59.776768	8.115966	0.000391	-0.001000
510.000000	1042.670581	-252.407020	0.573887	58.968486	8.192207	0.000383	0.027755
500.000000	1042.670581	-254.533117	0.574049	59.494613	8.337276	0.000379	0.017598
490.000000	1042.670581	-257.538456	0.574316	59.487641	8.438643	0.000383	0.006619
480.000000	1042.670581	-263.385774	0.574694	58.937124	8.555999	0.000382	0.015861
470.000000	1042.670581	-264.761036	0.574913	59.688151	8.713599	0.000380	0.053162
460.000000	1042.670581	-270.876600	0.575090	58.770170	8.780464	0.000376	0.012471
450.000000	1042.670581	-273.822924	0.575354	58.588594	8.852594	0.000376	0.020856
440.000000	1042.670581	-276.348082	0.575535	58.750291	8.961710	0.000370	0.005702
430.000000	1042.670581	-279.753590	0.575476	58.367530	9.012129	0.000375	0.015023
420.000000	1042.670581	-280.137030	0.575482	58.722222	9.079414	0.000368	-0.001000
410.000000	1042.670581	-283.450539	0.575625	58.172188	9.103013	0.000373	-0.001000
400.000000	1042.670581	-282.292934	0.575658	58.902200	9.180129	0.000365	-0.001000
