Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
810.000000	1042.670581	-0.346742	0.370627	52.765970	0.006504	0.146945	2.528304
800.000000	1042.670581	-14.722909	0.499833	66.203905	0.467256	0.002694	0.282815
790.000000	1042.670581	-28.688313	0.519396	66.298706	0.947461	0.001641	-0.001000
780.000000	1042.670581	-41.856148	0.529625	65.338860	1.389158	0.001293	-0.001000
770.000000	1042.670581	-53.932025	0.536860	65.450636	1.817499	0.001033	-0.001000
760.000000	1042.670581	-65.490336	0.541778	64.891913	2.208219	0.000887	0.045828
750.000000	1042.670581	-77.905436	0.546230	63.083361	2.574609	0.000836	0.027957
740.000000	1042.670581	-86.902116	0.549105	63.380282	2.900636	0.000731	0.445999
730.000000	1042.670581	-96.852255	0.551994	63.428127	3.252211	0.000704	-0.001000
720.000000	1042.670581	-108.637057	0.554365	63.169263	3.648654	0.000685	0.137569
710.000000	1042.670581	-117.829031	0.556437	63.617883	4.000372	0.000608	0.016091
700.000000	1042.670581	-127.120946	0.558182	62.400418	4.246520	0.000604	-0.001000
690.000000	1042.670581	-135.850061	0.559999	62.813209	4.583010	0.000580	-0.001000
680.000000	1042.670581	-146.664378	0.561460	61.258382	4.837959	0.000578	0.071151
670.000000	1042.670581	-153.261147	0.562778	62.794090	5.194465	0.000549	-0.001000
660.000000	1042.670581	-161.897967	0.563786	60.657265	5.309958	0.000522	-0.001000
650.000000	1042.670581	-169.053804	0.564760	60.881482	5.574769	0.000509	0.006533
640.000000	1042.670581	-178.350221	0.565686	59.808215	5.787121	0.000511	0.007057
630.000000	1042.670581	-186.778332	0.566703	61.086542	6.201265	0.000501	0.017982
620.000000	1042.670581	-193.815229	0.567406	59.574418	6.283401	0.000497	0.014270
610.000000	1042.670581	-202.034593	0.568054	59.751513	6.576840	0.000490	-0.001000
600.000000	1042.670581	-204.145252	0.568926	60.841416	6.777152	0.000474	-0.001000
590.000000	1042.670581	-213.995605	0.569311	58.905940	6.882825	0.000488	-0.001000
580.000000	1042.670581	-217.846158	0.569706	59.449685	7.076251	0.000465	0.013892
570.000000	1042.670581	-227.075612	0.570101	58.031424	7.205070	0.000470	0.006262
560.000000	1042.670581	-225.906492	0.570572	59.678318	7.377492	0.000471	-0.001000
550.000000	1042.670581	-231.448877	0.570927	58.510784	7.415224	0.000461	0.026299
540.000000	1042.670581	-235.782411	0.571128	58.536841	7.560085	0.000464	-0.001000
530.000000	1042.670581	-239.581373	0.571341	58.599271	7.692958	0.000457	0.012767
520.000000	1042.670581	-243.788163	0.571644	58.334269	7.796778	0.000456	0.009831
510.000000	1042.670581	-247.035322	0.571906	58.185055	7.884028	0.000438	0.016306
500.000000	1042.670581	-250.793883	0.572314	58.269392	8.021303	0.000429	-0.001000
490.000000	1042.670581	-256.223347	0.572395	58.556953	8.236555	0.000438	0.010784
480.000000	1042.670581	-259.645813	0.572622	57.922396	8.259408	0.000434	0.007167
470.000000	1042.670581	-264.826459	0.572716	57.303331	8.335533	0.000428	0.011226
460.000000	1042.670581	-266.402010	0.573026	57.632130	8.437798	0.000424	0.030916
450.000000	1042.670581	-271.403406	0.573098	57.828871	8.626642	0.000425	0.005337
440.000000	1042.670581	-274.896224	0.573333	57.037287	8.621587	0.000421	0.010206
430.000000	1042.670581	-277.061852	0.573383	57.647793	8.783287	0.000416	-0.001000
420.000000	1042.670581	-282.654822	0.573412	56.970958	8.855844	0.000422	0.004082
410.000000	1042.670581	-282.140149	0.573481	56.951729	8.837796	0.000416	-0.001000
400.000000	1042.670581	-284.153819	0.573563	57.031727	8.914641	0.000414	0.009883
